Data,Feriado
2013-11-15 00:00:00,proclamacao da republica
2013-12-25 00:00:00,natal
2014-01-01 00:00:00,confraternizacao universal
2014-03-03 00:00:00,carnaval
2014-03-04 00:00:00,carnaval
2014-04-18 00:00:00,paixao de cristo
2014-04-21 00:00:00,tiradentes
2014-05-01 00:00:00,dia do trabalho
2014-06-19 00:00:00,corpus christi
2014-09-07 00:00:00,independencia do brasil
2014-10-12 00:00:00,nossa sr.a aparecida - padroeira do brasil
2014-11-02 00:00:00,finados
2014-11-15 00:00:00,proclamacao da republica
2014-12-25 00:00:00,natal
2015-01-01 00:00:00,confraternizacao universal
2015-02-16 00:00:00,carnaval
2015-02-17 00:00:00,carnaval
2015-04-03 00:00:00,paixao de cristo
2015-04-21 00:00:00,tiradentes
2015-05-01 00:00:00,dia do trabalho
2015-06-04 00:00:00,corpus christi
2015-09-07 00:00:00,independencia do brasil
2015-10-12 00:00:00,nossa sr.a aparecida - padroeira do brasil
2015-11-02 00:00:00,finados
2015-11-15 00:00:00,proclamacao da republica
2015-12-25 00:00:00,natal
2016-01-01 00:00:00,confraternizacao universal
2016-02-08 00:00:00,carnaval
2016-02-09 00:00:00,carnaval
2016-03-25 00:00:00,paixao de cristo
2016-04-21 00:00:00,tiradentes
2016-05-01 00:00:00,dia do trabalho
2016-05-26 00:00:00,corpus christi
2016-09-07 00:00:00,independencia do brasil
2016-10-12 00:00:00,nossa sr.a aparecida - padroeira do brasil
2016-11-02 00:00:00,finados
2016-11-15 00:00:00,proclamacao da republica
2016-12-25 00:00:00,natal
2017-01-01 00:00:00,confraternizacao universal
2017-02-27 00:00:00,carnaval
2017-02-28 00:00:00,carnaval
2017-04-14 00:00:00,paixao de cristo
2017-04-21 00:00:00,tiradentes
2017-05-01 00:00:00,dia do trabalho
2017-06-15 00:00:00,corpus christi
2017-09-07 00:00:00,independencia do brasil
2017-10-12 00:00:00,nossa sr.a aparecida - padroeira do brasil
2017-11-02 00:00:00,finados
2017-11-15 00:00:00,proclamacao da republica
2017-12-25 00:00:00,natal
2018-01-01 00:00:00,confraternizacao universal
2018-02-12 00:00:00,carnaval
2018-02-13 00:00:00,carnaval
2018-03-30 00:00:00,paixao de cristo
2018-04-21 00:00:00,tiradentes
2018-05-01 00:00:00,dia do trabalho
2018-05-31 00:00:00,corpus christi
2018-09-07 00:00:00,independencia do brasil
2018-10-12 00:00:00,nossa sr.a aparecida - padroeira do brasil
2018-11-02 00:00:00,finados
2018-11-15 00:00:00,proclamacao da republica
2018-12-25 00:00:00,natal
2019-01-01 00:00:00,confraternizacao universal
2019-03-04 00:00:00,carnaval
2019-03-05 00:00:00,carnaval
2019-04-19 00:00:00,paixao de cristo
2019-04-21 00:00:00,tiradentes
2019-05-01 00:00:00,dia do trabalho
2019-06-20 00:00:00,corpus christi
2019-09-07 00:00:00,independencia do brasil
2019-10-12 00:00:00,nossa sr.a aparecida - padroeira do brasil
2019-11-02 00:00:00,finados
2019-11-15 00:00:00,proclamacao da republica
2019-12-25 00:00:00,natal
2020-01-01 00:00:00,confraternizacao universal
2020-02-24 00:00:00,carnaval
2020-02-25 00:00:00,carnaval
2020-04-10 00:00:00,paixao de cristo
2020-04-21 00:00:00,tiradentes
2020-05-01 00:00:00,dia do trabalho
2020-06-11 00:00:00,corpus christi
2020-09-07 00:00:00,independencia do brasil
2020-10-12 00:00:00,nossa sr.a aparecida - padroeira do brasil
2020-11-02 00:00:00,finados
2020-11-15 00:00:00,proclamacao da republica
2020-12-25 00:00:00,natal
2021-01-01 00:00:00,confraternizacao universal
2021-02-15 00:00:00,carnaval
2021-02-16 00:00:00,carnaval
2021-04-02 00:00:00,paixao de cristo
2021-04-21 00:00:00,tiradentes
2021-05-01 00:00:00,dia do trabalho
2021-06-03 00:00:00,corpus christi
2021-09-07 00:00:00,independencia do brasil
2021-10-12 00:00:00,nossa sr.a aparecida - padroeira do brasil
2021-11-02 00:00:00,finados
2021-11-15 00:00:00,proclamacao da republica
2021-12-25 00:00:00,natal
2022-01-01 00:00:00,confraternizacao universal
2022-02-28 00:00:00,carnaval
2022-03-01 00:00:00,carnaval
2022-04-15 00:00:00,paixao de cristo
2022-04-21 00:00:00,tiradentes
2022-05-01 00:00:00,dia do trabalho
2022-06-16 00:00:00,corpus christi
2022-09-07 00:00:00,independencia do brasil
2022-10-12 00:00:00,nossa sr.a aparecida - padroeira do brasil
2022-11-02 00:00:00,finados
2022-11-15 00:00:00,proclamacao da republica
2022-12-25 00:00:00,natal
2023-01-01 00:00:00,confraternizacao universal
2023-02-20 00:00:00,carnaval
2023-02-21 00:00:00,carnaval
2023-04-07 00:00:00,paixao de cristo
2023-04-21 00:00:00,tiradentes
2023-05-01 00:00:00,dia do trabalho
2023-06-08 00:00:00,corpus christi
2023-09-07 00:00:00,independencia do brasil
2023-10-12 00:00:00,nossa sr.a aparecida - padroeira do brasil
2023-11-02 00:00:00,finados
2023-11-15 00:00:00,proclamacao da republica
2023-12-25 00:00:00,natal
2024-01-01 00:00:00,confraternizacao universal
2024-02-12 00:00:00,carnaval
2024-02-13 00:00:00,carnaval
2024-03-29 00:00:00,paixao de cristo
2024-04-21 00:00:00,tiradentes
2024-05-01 00:00:00,dia do trabalho
2024-05-30 00:00:00,corpus christi
2024-09-07 00:00:00,independencia do brasil
2024-10-12 00:00:00,nossa sr.a aparecida - padroeira do brasil
2024-11-02 00:00:00,finados
2024-11-15 00:00:00,proclamacao da republica
2024-12-25 00:00:00,natal
2025-01-01 00:00:00,confraternizacao universal
2025-03-03 00:00:00,carnaval
2025-03-04 00:00:00,carnaval
